flag,label,prevalence_pct,plausible_share_pct,cms_form_increment,incremental_cost,increment_over_cost
NVS016,Sleep wake disorders,4.690234262916645,38.244408672953185,1160.1938609961317,4944.46627202789,0.23464491355915298
INJ027,Other unspecified injury,0.5680436008373487,44.4924635498431,1088.2823489081472,3300.488216426301,0.329733747720062
EYE012,Other specified eye disorders,0.7485101500934954,42.33345953034549,1043.567887943872,3100.9100516103517,0.3365360073575596
MBD002,Depressive disorders,6.635398131264854,38.167182923783976,1021.5410940313143,3601.5993920530827,0.28363540272839377
SYM017,Abnormal findings without diagnosis,1.6479385606134396,42.930980013413276,1009.6806175126511,2090.940870555817,0.48288339078869136
FAC012,Other specified encounters and counseling,1.5852619199014217,44.020355587606,990.3260387168143,4128.457220921409,0.23987799454436118
FAC009,"Implant, device or graft related encounter",1.4286989628742648,44.176918544633146,930.2572835807908,3960.9362465111344,0.23485792895560453
EYE009,Refractive error,1.8503487444781217,41.23162093596086,889.0582523712216,2387.2617749048272,0.3724175797212962
RSP009,Asthma,5.633817497576048,42.01108985842981,881.891810235844,3712.333411177228,0.2375572753192405
SYM010,Nervous system signs and symptoms,1.7676980843366972,42.811220489690015,877.1201614461919,3805.2617578440245,0.23050192529807684
EYE003,Glaucoma,1.3463777867739466,41.73559189366504,795.306409359686,2393.659530859568,0.33225544364452275
