key,label,family,group,nc_ungamed,nc_post,nc_ungamed_fold_min,nc_ungamed_fold_max,nc_post_fold_min,nc_post_fold_max,enrollment_share_post
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,Income below 200% FPL,-64.36209073442872,818.5341894403178,-1704.1391704694443,745.6070042149516,-543.0479866559641,1531.9437394055108,1.004972195619916
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,Hispanic,317.4947550446974,989.2126565798363,-1434.982016792731,1457.0753739154768,-427.91378299708197,2083.823045057528,0.9875564427616117
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,Non-Hispanic Black,-94.61380603581945,661.2242681646774,-1418.7200303879752,1080.726946128264,-480.0198369632327,1814.4625652888344,0.9910318934705031
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,Non-Hispanic Asian,943.1546200941895,1395.728886231562,-294.2689593535245,1898.2379180820021,19.437151703760186,2320.8507859791075,0.9935492498389598
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,Needs ADL or IADL help,-12883.62601054887,-10593.159830567203,-24207.890290810512,-6744.913960454272,-20799.596484953378,-4675.729057768462,0.9186779507695811
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,Mental health condition,-726.149192678744,653.599806297319,-2450.543271647417,993.5519823167704,-897.9926368376697,2161.733590798428,1.0125442858627276
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,Age 65 and over,-2.5060728122138394,1367.222571442427,-2741.1378581749645,2117.082667306168,-941.0926672362237,3548.5430982702183,1.0677625755000404
cms_pen_2,"CMS form, coding-penalized (lambda=2)",penalized,Uninsured all year,1389.202023886144,1710.6522279975227,158.62497097147045,2195.650793435213,519.6823719651386,2534.979606824215,1.033956479364327
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,Income below 200% FPL,-108.85173995803628,770.4316024990119,-1736.4902905448357,743.4943203264821,-615.3905308194484,1560.0578222692254,1.004134421468214
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,Hispanic,492.58889247808145,1161.9819815554472,-1260.888239977586,1636.0814591747999,-264.8412606307369,2241.497189867738,0.9930999224610847
